d_pos,d_neg,s_pos,s_neg,hudongdu,comment_count
0.285438657,0.714561343,0.462777108,0.537222862,0.017241379,31
0.545780718,0.454219222,0.116589397,0.883410573,0.388888889,27
0.265818924,0.734181106,0.275539964,0.724460006,0.210526316,98
0.375912309,0.624087632,0.473231465,0.526768565,0.25,42
0.530767858,0.469232142,0.622940898,0.377059072,0.52,49
0.538875639,0.46112439,0.608306348,0.391693652,0.428571429,72
0.376427919,0.623572171,0.504403174,0.495596856,0.023255814,59
0.285069853,0.714930117,0.547546446,0.452453494,0,107
0.542923808,0.457076252,0.373751998,0.626248002,0.35,126
0.619752526,0.380247474,0.289556563,0.710443437,0.25,56
0.507887125,0.492112845,0.698699832,0.301300108,0.28125,113
0.555974066,0.444025874,0.378323913,0.621676147,0.05,35
0.657187402,0.342812657,0.616354644,0.383645266,0.222222222,45
0.284762383,0.715237617,0.750817776,0.249182209,0.4,118
0.616816759,0.383183241,0.553873777,0.446126163,0.408163265,106
0.639863014,0.360136986,0.510242164,0.489757836,0.086956522,152
0.5803563,0.4196437,0.169561327,0.830438673,0.393939394,166
0.569105089,0.430894881,0.510058284,0.489941716,0.47311828,174
0.667207599,0.332792431,0.477256745,0.522743225,0.454545455,70
0.300923556,0.699076414,0.394232869,0.605767131,0.376237624,70
0.208401024,0.791598916,0.92863977,0.071360283,0.285714286,69
0.42562598,0.57437402,0.434368044,0.565631926,0.03030303,57
0.419880867,0.580119193,0.435326099,0.564673901,0.372093023,80
0.269944906,0.730055153,0.45977816,0.54022187,0.339285714,43
0.681398332,0.318601698,0.384991169,0.615008831,0.229166667,168
0.151281625,0.848718345,0.502939701,0.497060329,0.4,122
0.226967946,0.77303201,0.755851805,0.24414818,0.303030303,71
0.634305954,0.365694046,0.271971941,0.728028059,0.035714286,27
0.508037388,0.491962641,0.672413409,0.327586621,0.189189189,19
0.389815688,0.610184312,0.637402058,0.362597972,0.111111111,12
0.282763422,0.717236638,0.527043879,0.472956121,0.142857143,26
0.63043201,0.36956799,0.279692292,0.720307648,0.166666667,27
0.294027478,0.705972552,0.603345513,0.396654457,0.231884058,41
0.679368317,0.320631623,0.361558139,0.638441861,0.066666667,25
0.293893218,0.706106782,0.099108845,0.900891125,0.1,20
0.647354424,0.352645606,0.301667631,0.698332369,0.212121212,36
0.341948062,0.658051968,0.820735037,0.179264978,0.166666667,17
0.693159103,0.306840897,0.229687363,0.770312607,0.0625,19
0.644188881,0.355811149,0.431345731,0.568654239,0.27027027,29
0.676808119,0.323191941,0.359830499,0.640169501,0.157894737,21
0.289877653,0.710122347,0.418624431,0.581375599,0.12,32
0.482083946,0.517916024,0.34638682,0.65361315,0,19
0.621592581,0.378407419,0.744496942,0.255503058,0.194444444,36
0.367355943,0.632643998,0.381581455,0.618418455,0.076923077,23
0.477305681,0.52269429,0.497869104,0.502130866,0.058823529,29
0.430665314,0.569334686,0.351993531,0.648006439,0.153846154,26
0.562565029,0.437434971,0.275848359,0.724151611,0.071428571,16
0.304795235,0.695204794,0.30778271,0.69221729,0.5,33
0.234185338,0.765814662,0.379822344,0.620177686,0.142857143,47
0.626319587,0.373680323,0.650251687,0.349748373,0.333333333,28
0.389759779,0.610240221,0.714931965,0.285068035,0.228571429,85
0.530955672,0.469044358,0.492148221,0.507851839,0.367346939,51
0.258155495,0.741844475,0.368008494,0.631991506,0.098039216,33
0.626455963,0.373544037,0.574125767,0.425874293,0.268656716,23
